id,track_name,rating_count_tot,size_bytes,price,prime_genre
284035177,Pandora - Music & Radio,1126879,130242560,0,Music
324684580,Spotify Music,878563,132510720,0,Music
284993459,"Shazam - Discover music, artists, videos & lyrics",402925,147093504,0,Music
290638154,iHeartRadio – Free Music & Radio Stations,293228,116443136,0,Music
336353151,SoundCloud - Music & Audio,135744,105009152,0,Music
421254504,Magic Piano by Smule,131695,55030784,0,Music
509993510,Smule Sing!,119316,109940736,0,Music
418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,110420,101735424,0,Music
510855668,Amazon Music,106235,77778944,0,Music
355554941,SoundHound Song Search & Music Player,82602,70516736,0,Music
302584613,"Kindle – Read eBooks, Magazines & Textbooks",252076,169747456,0,Book
379693831,"Audible – audio books, original series & podcasts",105274,81558528,0,Book
1031002863,Color Therapy Adult Coloring Book for Adults,84062,135236608,0,Book
366869252,OverDrive – Library eBooks and Audiobooks,65450,39844864,0,Book
1024818709,HOOKED - Chat Stories,47829,94545920,0,Book
476508724,A Charlie Brown Christmas + iMessage Sticker Pack!,6420,121874432,5.99,Book
876336838,喜马拉雅FM（听书社区）电台有声小说相声英语,2111,130731008,0,Book
444553118,Jesus Calling Devotional by Sarah Young,1685,125770752,9.99,Book
906936224,快看漫画,1647,63058944,0,Book
1061132313,CHOMP by Christoph Niemann,1156,49474560,1.99,Book
